borough,major_category,num_crime,year,month
Barking and Dagenham,Burglary,163,2011,9
Barking and Dagenham,Criminal Damage,157,2011,9
Barking and Dagenham,Drugs,96,2011,9
Barking and Dagenham,Fraud or Forgery,0,2011,9
Barking and Dagenham,Other Notifiable Offences,26,2011,9
Barking and Dagenham,Robbery,66,2011,9
Barking and Dagenham,Sexual Offences,0,2011,9
Barking and Dagenham,Theft and Handling,478,2011,9
Barking and Dagenham,Violence Against the Person,329,2011,9
Barking and Dagenham,Burglary,201,2011,10
Barking and Dagenham,Criminal Damage,157,2011,10
Barking and Dagenham,Drugs,51,2011,10
Barking and Dagenham,Fraud or Forgery,0,2011,10
Barking and Dagenham,Other Notifiable Offences,22,2011,10
Barking and Dagenham,Robbery,70,2011,10
Barking and Dagenham,Sexual Offences,0,2011,10
Barking and Dagenham,Theft and Handling,485,2011,10
Barking and Dagenham,Violence Against the Person,338,2011,10
Barking and Dagenham,Burglary,229,2011,11
Barking and Dagenham,Criminal Damage,165,2011,11
Barking and Dagenham,Drugs,86,2011,11
Barking and Dagenham,Fraud or Forgery,0,2011,11
Barking and Dagenham,Other Notifiable Offences,19,2011,11
Barking and Dagenham,Robbery,75,2011,11
Barking and Dagenham,Sexual Offences,0,2011,11
Barking and Dagenham,Theft and Handling,500,2011,11
Barking and Dagenham,Violence Against the Person,331,2011,11
Barking and Dagenham,Burglary,233,2011,12
Barking and Dagenham,Criminal Damage,164,2011,12
Barking and Dagenham,Drugs,59,2011,12
Barking and Dagenham,Fraud or Forgery,0,2011,12
Barking and Dagenham,Other Notifiable Offences,19,2011,12
Barking and Dagenham,Robbery,87,2011,12
Barking and Dagenham,Sexual Offences,0,2011,12
Barking and Dagenham,Theft and Handling,478,2011,12
Barking and Dagenham,Violence Against the Person,307,2011,12
Barking and Dagenham,Burglary,230,2012,1
Barking and Dagenham,Criminal Damage,149,2012,1
Barking and Dagenham,Drugs,92,2012,1
Barking and Dagenham,Fraud or Forgery,0,2012,1
Barking and Dagenham,Other Notifiable Offences,32,2012,1
Barking and Dagenham,Robbery,104,2012,1
Barking and Dagenham,Sexual Offences,0,2012,1
Barking and Dagenham,Theft and Handling,524,2012,1
Barking and Dagenham,Violence Against the Person,306,2012,1
Barking and Dagenham,Burglary,188,2012,2
Barking and Dagenham,Criminal Damage,119,2012,2
Barking and Dagenham,Drugs,63,2012,2
Barking and Dagenham,Fraud or Forgery,0,2012,2
Barking and Dagenham,Other Notifiable Offences,28,2012,2
Barking and Dagenham,Robbery,78,2012,2
Barking and Dagenham,Sexual Offences,0,2012,2
Barking and Dagenham,Theft and Handling,540,2012,2
Barking and Dagenham,Violence Against the Person,291,2012,2
Barking and Dagenham,Burglary,258,2012,3
Barking and Dagenham,Criminal Damage,184,2012,3
Barking and Dagenham,Drugs,64,2012,3
Barking and Dagenham,Fraud or Forgery,0,2012,3
Barking and Dagenham,Other Notifiable Offences,16,2012,3
Barking and Dagenham,Robbery,77,2012,3
Barking and Dagenham,Sexual Offences,0,2012,3
Barking and Dagenham,Theft and Handling,622,2012,3
Barking and Dagenham,Violence Against the Person,336,2012,3
Barking and Dagenham,Burglary,212,2012,4
Barking and Dagenham,Criminal Damage,136,2012,4
Barking and Dagenham,Drugs,73,2012,4
Barking and Dagenham,Fraud or Forgery,0,2012,4
Barking and Dagenham,Other Notifiable Offences,15,2012,4
Barking and Dagenham,Robbery,67,2012,4
Barking and Dagenham,Sexual Offences,0,2012,4
Barking and Dagenham,Theft and Handling,476,2012,4
Barking and Dagenham,Violence Against the Person,285,2012,4
Barking and Dagenham,Burglary,180,2012,5
Barking and Dagenham,Criminal Damage,158,2012,5
Barking and Dagenham,Drugs,71,2012,5
Barking and Dagenham,Fraud or Forgery,0,2012,5
Barking and Dagenham,Other Notifiable Offences,26,2012,5
Barking and Dagenham,Robbery,51,2012,5
Barking and Dagenham,Sexual Offences,0,2012,5
Barking and Dagenham,Theft and Handling,520,2012,5
Barking and Dagenham,Violence Against the Person,365,2012,5
Barking and Dagenham,Burglary,182,2012,6
Barking and Dagenham,Criminal Damage,163,2012,6
Barking and Dagenham,Drugs,75,2012,6
Barking and Dagenham,Fraud or Forgery,0,2012,6
Barking and Dagenham,Other Notifiable Offences,22,2012,6
Barking and Dagenham,Robbery,49,2012,6
Barking and Dagenham,Sexual Offences,0,2012,6
Barking and Dagenham,Theft and Handling,481,2012,6
Barking and Dagenham,Violence Against the Person,326,2012,6
Barking and Dagenham,Burglary,178,2012,7
Barking and Dagenham,Criminal Damage,138,2012,7
Barking and Dagenham,Drugs,83,2012,7
Barking and Dagenham,Fraud or Forgery,0,2012,7
Barking and Dagenham,Other Notifiable Offences,29,2012,7
Barking and Dagenham,Robbery,50,2012,7
Barking and Dagenham,Sexual Offences,0,2012,7
Barking and Dagenham,Theft and Handling,540,2012,7
Barking and Dagenham,Violence Against the Person,324,2012,7
Barking and Dagenham,Burglary,156,2012,8
Barking and Dagenham,Criminal Damage,132,2012,8
Barking and Dagenham,Drugs,81,2012,8
Barking and Dagenham,Fraud or Forgery,0,2012,8
Barking and Dagenham,Other Notifiable Offences,25,2012,8
Barking and Dagenham,Robbery,73,2012,8
Barking and Dagenham,Sexual Offences,0,2012,8
Barking and Dagenham,Theft and Handling,491,2012,8
Barking and Dagenham,Violence Against the Person,311,2012,8
Barking and Dagenham,Burglary,165,2012,9
Barking and Dagenham,Criminal Damage,150,2012,9
Barking and Dagenham,Drugs,74,2012,9
Barking and Dagenham,Fraud or Forgery,0,2012,9
Barking and Dagenham,Other Notifiable Offences,16,2012,9
Barking and Dagenham,Robbery,46,2012,9
Barking and Dagenham,Sexual Offences,0,2012,9
Barking and Dagenham,Theft and Handling,439,2012,9
Barking and Dagenham,Violence Against the Person,304,2012,9
Barking and Dagenham,Burglary,188,2012,10
Barking and Dagenham,Criminal Damage,108,2012,10
Barking and Dagenham,Drugs,78,2012,10
Barking and Dagenham,Fraud or Forgery,0,2012,10
Barking and Dagenham,Other Notifiable Offences,20,2012,10
